IndivID,Name,Source,gwasID,Block,position_X,position_Y,edge,InitLeafLen,Bolting,Score
158,Sanna-2,CS77234,8376,1,32,6,0,30,0,3
159,Pa-1,CS1439,8353,1,32,8,0,32,1,3
160,Kn-0,CS6762,7186,1,32,10,1,30,1,2
161,Lp2-2,CS22594,7520,1,33,1,1,21,0,1
162,Alc-0,CS1656,6988,1,33,3,0,47,0,3
163,Kyoto,CS76535,7207,1,33,5,0,29,0,2
164,Zdr-1,CS22588,6984,1,33,7,0,21,0,1
165,Eds-1,CS76834,6016,1,33,9,0,30,0,2
166,PHW-2,CS6002,8243,1,34,2,0,31,0,2
167,Var2-1,CS22580,7516,1,34,4,0,30,0,3
168,Cvi-0,CS22614,6911,1,34,6,0,31,1,2
169,Var2-6,CS22581,7517,1,34,8,0,39,0,3
170,Rev-1,CS77214,8369,1,34,10,1,21,0,2
171,Ler(gl1-1),CS64,1,1,35,1,1,23,0,0
172,Nd-1,CS22619,6942,1,35,3,0,44,1,3
173,Wil-2,CS6889,7413,1,35,5,0,32,1,1
174,Li-2:1,CS6772,7223,1,35,7,0,20,0,2
175,St-0,CS1535,8387,1,35,9,0,17,0,1
176,CIBC-17,CS22603,6907,1,36,2,0,21,0,3
177,Algutsrum,CS76657,8230,1,36,4,0,27,0,2
178,Kelsterbach-4,CS6041,8420,1,36,6,0,23,1,1
179,Lov-5,CS77050,6046,1,36,8,0,21,0,3
180,Hod,CS76924,8235,1,36,10,1,17,0,1
181,Er-0,CS1143,7125,1,37,1,1,30,0,3
182,Rak-2,CS1485,8365,1,37,3,0,23,1,2
183,Rsch-4,CS1494,8374,1,37,5,0,33,1,3
184,Koln,CS76976,8239,1,37,7,0,29,1,2
185,Spr1-2,CS22582,6964,1,37,9,0,30,0,2
186,PHW-34,CS6034,8244,1,38,2,0,23,0,1
187,Pna-10,CS22571,7526,1,38,4,0,33,1,2
188,Tsu-0,CS6874,7373,1,38,6,0,29,0,3
189,Got-7,CS22608,6921,1,38,8,0,55,0,4
190,Zdr-6,CS22589,6985,1,38,10,1,32,0,2
191,Gd-1,CS1185,8296,1,39,1,1,33,0,3
192,Lom1-1,CS77048,6042,1,39,3,0,30,0,1
193,Bor-1,CS22590,5837,1,39,5,0,28,0,3
194,HSm,CS76941,8236,1,39,7,0,23,0,1
195,Kz-13,CS22445,6830,1,39,9,0,30,1,1
196,Ge-0,CS1187,8297,1,40,2,1,35,0,2
197,Seattle-0,CS6187,8245,1,40,4,1,28,1,1
198,Kent,CS76967,8238,1,40,6,1,30,1,1
199,Vimmerby,CS78845,8249,1,40,8,1,21,0,2
200,Eden-2,CS22573,6913,1,40,10,1,33,0,2
201,Mir-0,CS1379,8337,2,1,1,1,23,0,1
202,HR-5,CS22596,6924,2,1,3,1,22,1,2
203,Bor-4,CS22591,6903,2,1,5,1,20,1,1
204,Lu-1,CS1353,8334,2,1,7,1,25,0,1
205,Gul1-2,CS76896,8234,2,1,9,1,46,0,1
206,Dem-4,CS76794,8233,2,2,2,0,39,0,2
207,Cen-0,CS1067,8275,2,2,4,0,31,0,3
208,Ra-0,CS22632,6958,2,2,6,0,32,0,1
209,Wt-5,CS22637,6982,2,2,8,0,29,0,4
210,Rmx-A02,CS22568,7524,2,2,10,1,34,0,3
211,Kn-0,CS6762,7186,2,3,1,1,28,1,1
212,Sq-1,CS22600,6966,2,3,3,0,31,0,3
213,Kent,CS76967,8238,2,3,5,0,25,1,1
214,Ba1-2,CS76676,8256,2,3,7,0,28,1,1
215,Lp2-2,CS22594,7520,2,3,9,0,30,1,0
216,Ge-0,CS1187,8297,2,4,2,0,39,0,3
217,Bor-1,CS22590,5837,2,4,4,0,23,0,2
218,Gu-0,CS22617,6922,2,4,6,0,41,1,2
219,Rubezhnoe-1,CS927,7323,2,4,8,0,37,1,2
220,Got-7,CS22608,6921,2,4,10,1,57,0,2
221,Est-1,CS22629,6916,2,5,1,1,29,0,3
222,Lip-0,CS1337,8325,2,5,3,0,38,1,2
223,Is-0,CS1241,8312,2,5,5,0,31,1,1
224,NC-6,CS77124,8246,2,5,7,0,38,0,1
225,PHW-2,CS6002,8243,2,5,9,0,29,0,3
226,RRS-10,CS22565,7515,2,6,2,0,31,0,4
227,Bs-1,CS997,8270,2,6,4,0,28,1,1
228,Eden-2,CS22573,6913,2,6,6,0,33,0,1
229,H55,CS923,7461,2,6,8,0,41,0,2
230,Col(gl1-2),CS3126,2,2,6,10,1,25,0,3
231,St-0,CS1535,8387,2,7,1,1,27,1,1
232,Lom1-1,CS77048,6042,2,7,3,0,30,0,3
233,Hod,CS76924,8235,2,7,5,0,14,0,1
234,Hovdala-2,CS76937,6039,2,7,7,0,24,0,2
235,Rsch-4,CS1494,8374,2,7,9,0,23,1,1
236,PHW-34,CS6034,8244,2,8,2,0,22,0,3
237,Liarum,CS77038,8241,2,8,4,0,22,0,1
238,Bla-1,CS971,7015,2,8,6,0,25,1,1
239,Vinslov,CS78847,9057,2,8,8,0,29,0,2
240,Rak-2,CS1485,8365,2,8,10,1,26,1,1
241,CIBC-17,CS22603,6907,2,9,1,1,22,0,1
242,Per-1,CS1445,8354,2,9,3,0,21,1,1
243,N13,CS22491,7438,2,9,5,0,35,0,2
244,Uk-3,CS1577,10022,2,9,7,0,25,0,0
245,HR-10,CS22597,6923,2,9,9,0,22,1,1
246,Edi-0,CS22657,6914,2,10,2,0,39,0,2
247,Kin-0,CS22654,6926,2,10,4,0,30,1,1
248,Gd-1,CS1185,8296,2,10,6,0,31,1,1
249,Kavlinge-1,CS76964,8237,2,10,8,0,30,0,2
250,Na-1,CS1385,8343,2,10,10,1,38,0,4
251,Bil-5,CS22578,6900,2,11,1,1,14,0,3
252,Wa-1,CS22644,6978,2,11,3,0,26,1,2
253,Ga-0,CS22634,6919,2,11,5,0,17,0,1
254,Ang-0,CS949,6992,2,11,7,0,43,0,0
255,Var2-6,CS22581,7517,2,11,9,0,34,0,4
256,Vastervik,CS78834,9058,2,12,2,0,28,0,2
257,Sf-1,CS6855,7327,2,12,4,0,40,1,3
258,In-0,CS1239,8311,2,12,6,0,29,1,0
259,Eden-1,CS22572,6009,2,12,8,0,31,0,0
260,Eds-1,CS76834,6016,2,12,10,1,32,1,3
261,Stw-0,CS1539,8388,2,13,1,1,29,0,0
262,Mz-0,CS22636,6940,2,13,3,0,26,0,0
263,Lz-0,CS22615,6936,2,13,5,0,33,0,2
264,Vimmerby,CS78845,8249,2,13,7,0,24,0,1
265,Kni-1,CS76970,6040,2,13,9,0,15,0,0
266,Ws-0,CS22623,6980,2,14,2,0,26,0,1
267,Bro1-6,CS76726,8231,2,14,4,0,25,0,2
268,Zu-0,CS78880,7417,2,14,6,0,22,0,1
269,LL-0,CS22650,6933,2,14,8,0,32,1,1
270,Se-0,CS22646,6961,2,14,10,1,38,1,0
271,Ct-1,CS22639,6910,2,15,1,1,32,1,2
272,Lov-1,CS77049,6043,2,15,3,0,21,0,1
273,Ws-2,CS22659,6981,2,15,5,0,22,1,1
274,HSm,CS76941,8236,2,15,7,0,25,0,1
275,Kondara,CS22651,6929,2,15,9,0,28,0,0
276,NFA-10,CS22599,6943,2,16,2,0,41,1,1
277,Or-1,CS77150,6074,2,16,4,0,30,0,1
278,Kno-10,CS22566,6927,2,16,6,0,24,0,1
279,Sq-8,CS22601,6967,2,16,8,0,38,1,1
